"namespace","key","english_text","placeholders","translation","notes"
"IG_UI","IGUI_ItemCat_Ammunition","Ammunition","","",""
"IG_UI","IGUI_ItemCat_Appearance","Appearance","","",""
"IG_UI","IGUI_ItemCat_Breathing","Breathing","","",""
"IG_UI","IGUI_ItemCat_Cleaning","Cleaning","","",""
"IG_UI","IGUI_ItemCat_ClothAccBelt","Clothing - Accessory - Belt","","",""
"IG_UI","IGUI_ItemCat_ClothAccessory","Clothing - Accessory","","",""
"IG_UI","IGUI_ItemCat_ClothAccNeck","Clothing - Accessory - Neck","","",""
"IG_UI","IGUI_ItemCat_ClothAccScarf","Clothing - Accessory - Scarf","","",""
"IG_UI","IGUI_ItemCat_ClothAccTail","Clothing - Accessory - Tail","","",""
"IG_UI","IGUI_ItemCat_ClothBag","Clothing - Bag","","",""
"IG_UI","IGUI_ItemCat_ClothBagBack","Clothing - Bag - Backpack","","",""
"IG_UI","IGUI_ItemCat_ClothBagBelt","Clothing - Bag - Belt","","",""
"IG_UI","IGUI_ItemCat_ClothBody","Clothing - Body","","",""
"IG_UI","IGUI_ItemCat_ClothBodyExtra","Clothing - Body - Extra","","",""
"IG_UI","IGUI_ItemCat_ClothBodyFullSuit","Clothing - Body - Full Suit","","",""
"IG_UI","IGUI_ItemCat_ClothBodyFullTop","Clothing - Body - Full Top","","",""
"IG_UI","IGUI_ItemCat_ClothBodyJacket","Clothing - Body - Jacket","","",""
"IG_UI","IGUI_ItemCat_ClothBodyShirt","Clothing - Body - Shirt","","",""
"IG_UI","IGUI_ItemCat_ClothBodySweater","Clothing - Body - Sweater","","",""
"IG_UI","IGUI_ItemCat_ClothBodyTank","Clothing - Body - Tank Top","","",""
"IG_UI","IGUI_ItemCat_ClothBodyTshirt","Clothing - Body - T-Shirt","","",""
"IG_UI","IGUI_ItemCat_ClothFeet","Clothing - Feet","","",""
"IG_UI","IGUI_ItemCat_ClothFeetShoes","Clothing - Feet - Shoes","","",""
"IG_UI","IGUI_ItemCat_ClothFeetSocks","Clothing - Feet - Socks","","",""
"IG_UI","IGUI_ItemCat_ClothHands","Clothing - Hands","","",""
"IG_UI","IGUI_ItemCat_ClothHandsGloves","Clothing - Hands - Gloves","","",""
"IG_UI","IGUI_ItemCat_ClothHandsWrist","Clothing - Hands - Wrists","","",""
"IG_UI","IGUI_ItemCat_ClothHead","Clothing - Head","","",""
"IG_UI","IGUI_ItemCat_ClothHeadEyes","Clothing - Head - Eyes","","",""
"IG_UI","IGUI_ItemCat_ClothHeadFullHat","Clothing - Head - Full Hat","","",""
"IG_UI","IGUI_ItemCat_ClothHeadGlasses","Clothing - Head - Glasses","","",""
"IG_UI","IGUI_ItemCat_ClothHeadHat","Clothing - Head - Hat","","",""
"IG_UI","IGUI_ItemCat_ClothHeadMask","Clothing - Head - Mask","","",""
"IG_UI","IGUI_ItemCat_ClothJewEar","Clothing - Jewelry - Earrings","","",""
"IG_UI","IGUI_ItemCat_ClothJewelry","Clothing - Jewelry","","",""
"IG_UI","IGUI_ItemCat_ClothJewGroin","Clothing - Jewelry - Groin","","",""
"IG_UI","IGUI_ItemCat_ClothJewNeck","Clothing - Jewelry - Necklace","","",""
"IG_UI","IGUI_ItemCat_ClothJewNose","Clothing - Jewelry - Nose","","",""
"IG_UI","IGUI_ItemCat_ClothJewRings","Clothing - Jewelry - Rings","","",""
"IG_UI","IGUI_ItemCat_ClothLegs","Clothing - Legs","","",""
"IG_UI","IGUI_ItemCat_ClothLegsFull","Clothing - Legs - Full","","",""
"IG_UI","IGUI_ItemCat_ClothLegsPants","Clothing - Legs - Pants","","",""
"IG_UI","IGUI_ItemCat_ClothLegsSkirt","Clothing - Legs - Skirt","","",""
"IG_UI","IGUI_ItemCat_ClothMisc","Clothing - Misc","","",""
"IG_UI","IGUI_ItemCat_ClothUnderBottom","Clothing - Underwear - Bottom","","",""
"IG_UI","IGUI_ItemCat_ClothUnderExtra","Clothing - Underwear - Extra","","",""
"IG_UI","IGUI_ItemCat_ClothUnderTop","Clothing - Underwear - Top","","",""
"IG_UI","IGUI_ItemCat_ClothUnderwear","Clothing - Underwear","","",""
"IG_UI","IGUI_ItemCat_Container","Container","","",""
"IG_UI","IGUI_ItemCat_ContainerBackpack","Container - Backpack","","",""
"IG_UI","IGUI_ItemCat_ContainerBag","Container - Bag","","",""
"IG_UI","IGUI_ItemCat_ContainerEmpty","Container - Empty","","",""
"IG_UI","IGUI_ItemCat_ContainerFanny","Container - Fanny Pack","","",""
